price,country,wine_type,grape,style,rating
18.13,Spain,Red,Sauvignon Blanc,Fresh,92.5
5.85,Spain,Red,Chardonnay,Complex,93.3
7.65,Australia,Red,Grenache,Elegant,92.0
1.73,USA,Rosé,Pinot Noir,Smooth,88.3
94.4,Spain,Red,Pinot Noir,Fresh,96.9
7.54,Australia,White,Chardonnay,Smooth,91.9
5.38,Australia,Rosé,Pinot Noir,Elegant,90.0
4.69,USA,White,Riesling,Elegant,91.3
4.21,Argentina,White,Grenache,Smooth,88.3
21.99,Chile,Rosé,Syrah,Elegant,92.5
5.43,Italy,Rosé,Sauvignon Blanc,Complex,89.2
4.15,USA,Red,Syrah,Bold,90.1
19.41,Spain,Rosé,Cabernet Sauvignon,Crisp,91.7
10.32,France,Rosé,Syrah,Complex,93.4
5.95,Argentina,Rosé,Sangiovese,Bold,88.3
23.34,Spain,Rosé,Cabernet Sauvignon,Crisp,93.0
16.27,France,Red,Grenache,Fresh,93.3
11.84,France,Rosé,Grenache,Light,94.1
4.04,Argentina,Red,Chardonnay,Bold,89.2
25.1,Argentina,Rosé,Chardonnay,Bold,91.5
10.28,Chile,White,Grenache,Bold,89.8
7.48,USA,White,Grenache,Fresh,90.4
9.51,France,Red,Syrah,Crisp,93.9
33.75,France,Rosé,Tempranillo,Elegant,95.5
1.46,Australia,Red,Pinot Noir,Light,87.4
17.5,Chile,Red,Chardonnay,Rich,92.4
12.03,USA,White,Tempranillo,Light,90.9
6.64,France,Rosé,Cabernet Sauvignon,Light,90.7
7.19,Australia,Red,Cabernet Sauvignon,Crisp,90.0
15.97,Italy,White,Tempranillo,Smooth,96.5
10.26,France,Rosé,Riesling,Complex,93.3
16.2,Chile,Rosé,Cabernet Sauvignon,Rich,90.5
5.52,Australia,Rosé,Chardonnay,Smooth,87.3
3.52,Argentina,Red,Cabernet Sauvignon,Complex,91.7
20.01,France,Rosé,Syrah,Rich,93.7
14.36,Italy,Rosé,Tempranillo,Smooth,88.4
3.1,France,White,Sauvignon Blanc,Bold,91.5
10.83,France,Rosé,Pinot Noir,Complex,95.1
13.29,Chile,Red,Sangiovese,Smooth,91.4
14.6,Spain,White,Syrah,Crisp,92.1
10.87,Spain,Red,Syrah,Smooth,87.9
5.59,Australia,Rosé,Pinot Noir,Rich,91.0
17.02,Spain,Rosé,Riesling,Fresh,86.9
18.76,Chile,Red,Pinot Noir,Elegant,90.9
10.88,Australia,White,Cabernet Sauvignon,Smooth,92.5
24.05,USA,Red,Pinot Noir,Smooth,95.1
12.6,France,White,Sauvignon Blanc,Elegant,94.8
